Genus,Common & Valuable Foraged Species (up to 3),Notes on Value
Agaricus,Agaricus campestris (Meadow Mushroom),"Choice edible; often found in grassy areas, closely related to the button mushroom. Caution: Easily confused with deadly Amanita species (must check for dark spores and lack of volva)."
,Agaricus arvensis (Horse Mushroom),"Choice edible; larger than the Meadow Mushroom, with a distinctive anise-like scent."
,Agaricus silvicola (Pavement Mushroom),"Good edible; known for its delicate anise scent, found in woodlands and urban areas."
Agrocybe,Agrocybe aegerita (Poplar Fieldcap/Pioppino),"Choice edible; valued for its mild, earthy, and nutty flavor; widely cultivated (Note: This species is now often classified under Cyclocybe, but is historically well-known as Agrocybe)."
Albatrellus,Albatrellus ovinus (Sheep Polypore),"Choice edible; firm texture, excellent flavor when young; popular in Scandinavian cuisine."
,Albatrellus confluens (Fused Polypore),Edible when young; often bitter when mature but can be excellent when mild.
Abortiporus,Abortiporus biennis (Grated White Cheese Polypore),"Non-edible; too tough/bitter for consumption, though a distinctive bracket fungus."
Albugo,Albugo candida (White Rust),"Not foraged; a plant pathogenic oomycete (water mold), not a true fungus, causing white blister diseases on vegetables."
Boletus,Boletus edulis (King Bolete/Porcini),"Highly prized edible; rich, nutty flavor; excellent for drying."
Butyriboletus,Butyriboletus appendiculatus (Butter Bolete),"Choice edible with a mild, earthy flavor; highly valued in parts of Europe."
Calvatia,Calvatia gigantea (Giant Puffball),Choice edible when young (flesh must be pure white); very large size makes it a high-yield forage.
Cantharellus,Cantharellus cibarius (Chanterelle),"Highly prized edible; fruity aroma, peppery flavor; excellent market value."
Chalciporus,Chalciporus piperatus (Pepper Bolete),"Edible, but typically used as a spicy seasoning when dried and powdered."
Chlorophyllum,Chlorophyllum rhacodes (Shaggy Parasol),"Good edible (caution: some people have gastric upset; requires confident ID). Must avoid the toxic, green-spored C. molybdites."
Chroogomphus,Chroogomphus rutilus (Red-brown Spike-cap),"Edible with a mild, pleasant flavor; often overlooked."
Clavariadelphus,Clavariadelphus truncatus (Club Coral Fungus),"Edible when young; mild, nutty flavor and a firm texture."
Clitopilus,Clitopilus prunulus (The Miller),Choice edible with a distinctive mealy odor and flavor (caution: many poisonous look-alikes).
Coprinus,Coprinus comatus (Shaggy Mane),Choice edible when young (gills must be white); must be cooked quickly as it autodigests.
Craterellus,Craterellus cornucopioides (Black Trumpet),"Highly prized edible; deep, smoky, complex flavor; excellent for drying."
Cyclocybe,Cyclocybe aegerita (Poplar Fieldcap/Pioppino),"Choice edible with a mild, earthy, and nutty flavor; widely cultivated."
Fistulina,Fistulina hepatica (Beefsteak Fungus),Edible; often eaten raw in salads or slow-cooked; distinctive meaty appearance.
Flammulina,Flammulina velutipes (Enoki/Velvet Shank),Good edible; winter mushroom; distinctive velvet stem (cultivated versions look different).
Ganoderma,Ganoderma lucidum (Reishi/Lingzhi),Valuable non-edible; prized in traditional medicine for its health benefits (typically dried for tea/tincture).
Grifola,Grifola frondosa (Hen of the Woods/Maitake),"Highly prized edible; meaty texture and rich flavor; found at the base of trees, often oaks."
Hericium,Hericium erinaceus (Lion's Mane),Choice edible; unique seafood-like flavor; also valued for medicinal properties.
Hydnum,Hydnum repandum (Hedgehog Mushroom),"Choice edible; firm texture, mild flavor, easily identified by teeth instead of gills/pores."
Hypsizygus,Hypsizygus ulmarius (Elm Oyster),"Edible; often found on elm trees; a good, firm-textured mushroom."
Imleria,Imleria badia (Bay Bolete),Good edible; widely foraged; less prized than porcini but often more abundant.
Lactarius,Lactarius deliciosus (Saffron Milkcap),Edible; distinctively colored orange milk (latex); highly valued in Mediterranean countries.
Laetiporus,Laetiporus sulphureus (Chicken of the Woods),Good edible (must be young); often used as a poultry substitute in cooking; grows on wood.
Lentinula,Lentinula edodes (Shiitake),Highly prized edible; woody aroma and rich flavor; wild foraging is possible but it is mainly cultivated.
Lepista,Lepista nuda (Blewit),Good edible; distinctive lavender/purple color; late-season mushroom.
Lycoperdon,Lycoperdon perlatum (Gem-studded Puffball),Edible when young (flesh must be pure white); common and easy to identify when sliced.
Macrolepiota,Macrolepiota procera (Parasol Mushroom),"Choice edible; large, striking mushroom; known for being breaded and fried."
Marasmius,Marasmius oreades (Fairy Ring Mushroom),Good edible; excellent for drying as it retains flavor after being rehydrated.
Meripilus,Meripilus sumstinei (Black-staining Polypore),"Edible when young; can be tough but has a rich, earthy flavor; stains black when bruised."
Pleurotus,Pleurotus ostreatus (Oyster Mushroom),"Good edible; mild flavor, easy to identify; common on wood; one of the most widely cultivated."
Polyporus,Polyporus squamosus (Dryad's Saddle/Pheasant's Back),"Edible when young (before it toughens); mild, melon-like scent when fresh."
Ramaria,Ramaria flava (Yellow Coral),Edible (many coral fungi are not); mild flavor and distinctive shape (caution is needed as many coral fungi are either toxic or purgative).
Russula,Russula virescens (Green Cracking Russula),"Choice edible; distinctive cracked cap; mild, nutty flavor."
Sparassis,Sparassis crispa (Cauliflower Mushroom),"Choice edible; unique, frilly appearance; nutty flavor and excellent texture."
Suillus,Suillus luteus (Slippery Jack),"Edible (must peel cap skin); often common and abundant, a good bulk edible."
Trametes,Trametes versicolor (Turkey Tail),Valuable non-edible; prized for medicinal use (typically dried for tea/tincture); very common.
Tremella,Tremella mesenterica (Witch's Butter),Edible but bland; distinctively gelatinous texture; often used for texture in Asian cuisine.
Tricholoma,Tricholoma magnivelare (American Matsutake),Highly prized edible; cinnamon-spicy aroma; commands a high market price.
Xerocomellus,Xerocomellus chrysenteron (Red Cracking Bolete),Edible; common small bolete; mild flavor.